iletrna[c];cpd12256
ile_L[p];cpd00322
h2mb4p[c];cpd08615
3c2hmp[c];cpd02693
3c4mop[c];cpd02605
2ippm[c];cpd01710
3c3hmp[c];cpd01646
isetac[p];cpd03048
isetac[e];cpd03048
4izp[c];cpd02311
leu_L[c];cpd00107
4mop[c];cpd00200
trnaleu[c];cpd11916
leutrna[c];cpd12003
leu_L[p];cpd00107
thp2c[c];cpd00352
trnalys[c];cpd11917
lystrna[c];cpd01326
lys_L[p];cpd00039
lys_L[e];cpd00039
lac_L[c];cpd00159
lac_L[p];cpd00159
mal_L[p];cpd00130
ivcoa[c];cpd01882
3mb2coa[c];cpd01966
2mcit[c];cpd01501
2mcacn[c];cpd02597
micit[c];cpd02799
2mecdp[c];cpd08301
hcys_L[c];cpd00135
ch4s[c];cpd00324
5mthf[c];cpd00345
trnamet[c];cpd11918
met_L[p];cpd00060
mso3[p];cpd08023
mso3[e];cpd08023
methf[c];cpd00347
5mthglu[c];cpd02738
thglu[c];cpd02555
mucl[c];cpd16737
CCbuttc[c];cpd00856
dnad[c];cpd00638
nac[c];cpd00218
nicrnt[c];cpd00873
udp[c];cpd00014
dttp[c];cpd00357
dgtp[c];cpd00241
dudp[c];cpd00978
datp[c];cpd00115
nh4[p];cpd00013
dmbzid[c];cpd01997
5prdmbz[c];cpd02904
quln[c];cpd02333
no2[p];cpd00075
no2[c];cpd00075
xtsn[c];cpd01217
xmp[p];cpd00497
pi[p];cpd00009
xtsn[p];cpd01217
imp[p];cpd00114
ins[p];cpd00246
ump[c];cpd00091
uri[c];cpd00249
ump[p];cpd00091
uri[p];cpd00249
dcyt[c];cpd00654
dcmp[p];cpd00206
dcyt[p];cpd00654
cytd[c];cpd00367
cmp[p];cpd00046
cytd[p];cpd00367
thymd[c];cpd00184
dtmp[p];cpd00298
thymd[p];cpd00184
damp[p];cpd00294
dad_2[p];cpd00438
amp[p];cpd00018
adn[p];cpd00182
dgsn[c];cpd00277
dgmp[p];cpd00296
dgsn[p];cpd00277
gmp[p];cpd00126
gsn[p];cpd00311
ohpb[c];cpd03606
ibcoa[c];cpd00481
2mbcoa[c];cpd00760
orot5p[c];cpd00810
pro_L[c];cpd00129
2oxoadp[c];cpd00269
glutar[c];cpd00379
1pyr5c[c];cpd02431
pac[c];cpd00430
phaccoa[c];cpd00452
pac[p];cpd00430
pac[e];cpd00430
ala_B[c];cpd00085
pnto_R[c];cpd00644
udcpp[c];cpd00286
ugmda[c];cpd02968
uagmda[c];cpd03494
pre4[c];cpd03834
pre5[c];cpd03839
pre3b[c];cpd03833
dscl[c];cpd01620
pre3a[c];cpd03420
pre6a[c];cpd03761
pre6b[c];cpd03760
pre8[c];cpd03835
hgbyr[c];cpd03832
adhlam[c];cpd00836
pdx5p[c];cpd00478
pydx5p[c];cpd00016
pydxn[c];cpd00263
pe120[c];cpd15528
pe120[p];cpd15528
pe160[c];cpd15531
pe160[p];cpd15531
pe161[p];cpd15532
pe180[c];cpd15533
pe180[p];cpd15533
pe181[p];cpd15534
pentso3[e];cpd16742
pentso3[p];cpd16742
3php[c];cpd02069
pgp120[c];cpd15542
pgp120[p];cpd15542
pgp160[c];cpd15545
pgp160[p];cpd15545
pgp161[c];cpd15546
pgp161[p];cpd15546
pgp180[c];cpd15547
pgp180[p];cpd15547
pgp181[c];cpd15548
pgp181[p];cpd15548
pg120[c];cpd15535
pg160[c];cpd15538
pg180[c];cpd15540
phe_L[c];cpd00066
phpyr[c];cpd00143
tyr_L[c];cpd00069
trnaphe[c];cpd11919
phetrna[c];cpd12335
phe_L[p];cpd00066
4r5au[c];cpd02882
2mahmp[c];cpd02894
4ppan[c];cpd02201
4ppcys[c];cpd02666
pan4p[c];cpd00834
fpram[c];cpd02826
prbamp[c];cpd01777
prfp[c];cpd02979
trnapro[c];cpd11920
protrna[c];cpd12164
pro_L[p];cpd00129
pro_L[e];cpd00129
skm5p[c];cpd02030
ps120[c];cpd15552
ps160[c];cpd15555
ps161[c];cpd15556
ps180[c];cpd15557
ps181[c];cpd15558
pser_L[c];cpd00738
actp[c];cpd00196
ptrc[p];cpd00118
pydx[c];cpd00215
quin_kt[c];cpd00248
quin_kt[e];cpd00248
quin_kt[p];cpd00248
r15bp[c];cpd00847
ribflv[c];cpd00220
dmlz[c];cpd02656
rib_D[p];cpd00105
rbrdxOX[c];cpd11681
rbrdxRD[c];cpd11651
xu5p_D[c];cpd00198
sucorn[c];cpd02160
sarcs[c];cpd00183
sl26da[c];cpd02698
sl2a6o[c];cpd02724
selmeth[c];cpd03163
seasmet[c];cpd03392
trnaser[c];cpd11921
sertrna[c];cpd12132
ser_L[p];cpd00054
sucglu[c];cpd03525
sucgsa[c];cpd03526
scl[c];cpd03426
sheme[c];cpd00557
skm[c];cpd00383
suchms[c];cpd00822
na1[e];cpd00971
so4[e];cpd00048
spmd[p];cpd00264
spmd[c];cpd00264
succ[p];cpd00036
so4[p];cpd00048
s7p[c];cpd00238
taur[p];cpd00210
taur[e];cpd00210
athr_L[c];cpd03282
thr_L[c];cpd00161
trnathr[c];cpd11922
thrtrna[c];cpd12229
thr_L[p];cpd00161
trp_L[c];cpd00065
indole[c];cpd00359
tsul[p];cpd00268
trnatyr[c];cpd11751
tyrtrna[c];cpd12194
tyr_L[p];cpd00069
tyr_L[e];cpd00069
uamag[c];cpd00525
ugmd[c];cpd02964
uacgam[c];cpd00037
uaccg[c];cpd02820
uaagmda[c];cpd03495
uama[c];cpd00890
uamr[c];cpd00773
udcpdp[c];cpd02229
4hbz[p];cpd00136
2kmb[c];cpd00869
uppg3[c];cpd00774
uppg1[c];cpd03414
cpppg1[c];cpd03416
cala[c];cpd01720
val_L[c];cpd00156
trnaval[c];cpd11924
valtrna[c];cpd12133
val_L[p];cpd00156
vanlt[p];cpd04073
vanlt[c];cpd04073
vanln[p];cpd00561
urate[c];cpd00300
cym[c];cpd03982
cumicoh[c];cpd03983
cumical[c];cpd03984
cum[c];cpd03985
dhdcum[c];cpd03986
dhcum[c];cpd03987
2d3c24dien[c];cpd03988
2h24dien[c];cpd02761
chpd[c];cpd00461
isobut[c];cpd00211
tol[c];cpd01034
toldh[c];cpd02798
3mcat[c];cpd01871
cchoxod[c];cpd03715
2hmcnsad[c];cpd00518
4h2oxov[c];cpd00668
bzne[c];cpd01007
dhbzne[c];cpd00784
ebzne[c];cpd04136
dhebzne[c];cpd04114
3ecat[c];cpd02130
2ho24dien[c];cpd04108
peptido_kt[c];cpd11452
oca[c];cpd16738
omaenol[c];cpd02717
6hnac[c];cpd00752
dhpyr[c];cpd00778
malm[c];cpd01123
3mgcoa[c];cpd02068
15dap[c];cpd01155
dmgly[c];cpd00756
pprdn[c];cpd03691
r1p[c];cpd00475
3hibutcoa[c];cpd02503
2mb2coa[c];cpd02125
2mp2coa[c];cpd02187
3hmbcoa[c];cpd02691
2maacoa[c];cpd02124
confrl[c];cpd00458
dna[c];cpd11461
dna5mtc[c];cpd12223
mclPHA[c];cpd16751
ppal[c];cpd00371
2dhglcn[e];cpd00480
34dhcinm[e];cpd00881
34dhcinm[p];cpd00881
3oxoadp[e];cpd00630
4hbz[e];cpd00136
4abut[e];cpd00281
ac[e];cpd00029
akg[e];cpd00024
asp_L[e];cpd00041
catechol[e];cpd00077
catechol[p];cpd00077
chol[e];cpd00098
co2[e];cpd00011
co2[p];cpd00011
cobalt2[e];cpd00149
confrl[e];cpd00458
confrl[p];cpd00458
cys_L[e];cpd00084
dca[e];cpd01107
ddca[e];cpd01741
lac_D[e];cpd00221
fer[e];cpd01059
fer[p];cpd01059
fum[e];cpd00106
ga[e];cpd01020
ga[p];cpd01020
glcn[e];cpd00222
glyald[e];cpd00448
