Formula
cpd00001 + cpd03521  -> cpd00009 + cpd02961 
cpd00001 + cpd02978  -> cpd00067 + cpd00012 + cpd03521 
cpd00002 + cpd00655  -> cpd00067 + cpd00008 + cpd00010 
cpd00010 + cpd16744  -> cpd16755 + cpd16752 
cpd00010 + cpd16745  -> cpd16756 + cpd16752 
cpd00010 + cpd16746  -> cpd16753 + cpd16752 
cpd00010 + cpd16747  -> cpd16758 + cpd16752 
cpd00010 + cpd16748  -> cpd16754 + cpd16752 
cpd00010 + cpd16749  -> cpd16777 + cpd16752 
cpd00010 + cpd16750  -> cpd16779 + cpd16752 
cpd00067 + cpd00005 + cpd00712  -> cpd00006 + cpd00408 
cpd00002 + cpd00298  <=> cpd00008 + cpd00297 
cpd00006 + cpd00337  <=> cpd00067 + cpd00005 + cpd00092 
cpd00001 + cpd00358  -> cpd00067 + cpd00012 + cpd00299 
cpd00067 + cpd00005 + cpd08289  -> cpd00006 + cpd08286 
cpd00067 + cpd00020 + cpd00102  -> cpd00011 + cpd08289 
cpd00067 + cpd00221  <=> cpd00067 + cpd00221 
cpd00001 + cpd00003 + cpd00236  <=> 2 cpd00067 + cpd00004 + cpd02147 
cpd00842  <=> cpd00001 + cpd00650 
cpd03122  <=> cpd00001 + cpd03125 
cpd03120  <=> cpd00001 + cpd03130 
cpd03118  <=> cpd00001 + cpd03129 
cpd03116  <=> cpd00001 + cpd02060 
cpd03115  <=> cpd00001 + cpd03127 
cpd03113  <=> cpd00001 + cpd03126 
cpd02711  -> cpd00020 + cpd00102 
cpd00284  -> cpd00001 + cpd02711 
cpd00482  <=> cpd00001 + cpd00061 
cpd00002 + cpd00001 + cpd11579  -> cpd00067 + cpd00008 + cpd00009 + cpd11579 
cpd11579  <=> cpd11579 
cpd00002 + cpd00067 + cpd00010 + cpd01107  -> cpd00067 + cpd00018 + cpd00012 + cpd03128 
cpd00002 + cpd00067 + cpd00010 + cpd01741  -> cpd00067 + cpd00018 + cpd00012 + cpd01260 
cpd00002 + cpd00067 + cpd00010 + cpd03847  -> cpd00067 + cpd00018 + cpd00012 + cpd01695 
cpd00002 + cpd00067 + cpd00010 + cpd00214  -> cpd00067 + cpd00018 + cpd00012 + cpd00134 
cpd00002 + cpd00067 + cpd00010 + cpd01113  -> cpd00067 + cpd00018 + cpd00012 + cpd03124 
cpd00002 + cpd00067 + cpd00010 + cpd03846  -> cpd00067 + cpd00018 + cpd00012 + cpd01335 
cpd00007 + 2 cpd00110 + 2 cpd00055  -> 4 cpd00067 + 2 cpd00047 + 2 cpd00410 
cpd00290  <=> cpd00102 + cpd00095 
cpd00001 + cpd00290  -> cpd00009 + cpd00072 
cpd00021 + cpd01476  -> 2 cpd00067 + cpd00028 
cpd00001 + cpd00321  -> cpd00022 + cpd00561 
cpd00003 + cpd00047  -> cpd00011 + cpd00004 
cpd00007 + cpd01270 + cpd03048  -> cpd00067 + cpd00001 + cpd00081 + cpd00229 + cpd00050 
cpd00007 + cpd01270 + cpd08023  -> cpd00067 + cpd00001 + cpd00081 + cpd00055 + cpd00050 
cpd00007 + cpd11579 + cpd01270  -> cpd00067 + cpd00001 + cpd00071 + cpd00081 + cpd00050 
cpd00007 + cpd01270 + cpd16742  -> cpd00067 + cpd00001 + cpd00081 + cpd00050 + cpd15621 
cpd00007 + cpd01270 + cpd00210  -> cpd00067 + cpd00001 + cpd00081 + cpd00050 + cpd04122 
cpd00002 + cpd00001 + cpd00021  -> cpd00067 + cpd00008 + cpd00009 + cpd00021 
cpd00002 + cpd00010 + cpd01059  -> cpd00018 + cpd00012 + cpd00321 
cpd00201 + cpd12105  -> cpd00067 + cpd00087 + cpd12285 
cpd00067 + cpd00002 + cpd00050  -> cpd00012 + cpd00015 
cpd00067 + cpd00005 + cpd00050  -> cpd00006 + cpd01270 
cpd00443 + cpd02920  -> cpd00012 + cpd00683 
2 cpd00067 + cpd00001 + cpd00344  -> cpd00013 + cpd00770 
cpd00002 + cpd00802  <=> cpd00067 + cpd00008 + cpd00290 
cpd00061 + cpd00082  -> cpd00020 + cpd00802 
cpd00001 + cpd00201  -> cpd00067 + cpd00087 + cpd00047 
cpd00001 + cpd00106  <=> cpd00130 
cpd00001 + cpd00780  -> cpd00067 + cpd00106 + cpd00142 
2 cpd00067 + cpd00106  -> 2 cpd00067 + cpd00106 
cpd00022 + cpd03671  -> cpd00067 + cpd00010 + cpd02611 
cpd02345  -> cpd00338 
cpd11468 + cpd00080  -> cpd11493 + cpd15325 
cpd15277 + cpd00080  -> cpd11493 + cpd15327 
cpd15239 + cpd00080  -> cpd11493 + cpd15326 
cpd11573 + cpd00080  -> cpd11493 + cpd15329 
cpd11825 + cpd00080  -> cpd11493 + cpd15328 
cpd00015 + cpd00080  -> cpd00982 + cpd00095 
cpd00006 + cpd00080  <=> cpd00067 + cpd00005 + cpd00095 
cpd00067 + cpd00005 + cpd02097  -> cpd00006 + cpd00009 + cpd00858 
cpd00006 + cpd00863  -> cpd00067 + cpd00005 + cpd00911 
cpd00006 + cpd00079  -> cpd00067 + cpd00005 + cpd00911 
cpd00079  <=> cpd00863 
cpd00007 + cpd01020  -> 2 cpd00067 + cpd16739 
cpd00015 + cpd00222  <=> cpd00480 + cpd00982 
cpd00067 + cpd00062 + cpd00089  <=> cpd00012 + cpd00026 
cpd00009 + cpd00003 + cpd00102  <=> cpd00067 + cpd00004 + cpd00203 
cpd00201 + cpd02394  <=> cpd00067 + cpd00087 + cpd02678 
cpd00002 + cpd00047 + cpd02394  -> cpd00067 + cpd00008 + cpd00009 + cpd02678 
cpd00053 + cpd00072  -> cpd00023 + cpd00288 
cpd00087 + cpd00054  <=> cpd00001 + cpd00033 + cpd00125 
cpd00002 + cpd00126  <=> cpd00008 + cpd00031 
cpd15560 + cpd00027 + cpd00001  -> cpd00067 + cpd15561 + cpd00222 
cpd00067 + cpd00222  <=> cpd00067 + cpd00222 
cpd00010 + cpd03672  -> cpd00449 + cpd00413 
cpd00002 + cpd00001 + cpd00027  -> cpd00067 + cpd00008 + cpd00009 + cpd00027 
cpd00027  <=> cpd00027 
cpd00002 + cpd00023 + cpd00013  -> cpd00067 + cpd00008 + cpd00009 + cpd00053 
cpd00002 + cpd00001 + cpd00053 + cpd12828  -> cpd00067 + cpd00008 + cpd00009 + cpd00023 + cpd12060 
cpd00002 + cpd00053 + cpd11911  -> cpd00018 + cpd00012 + cpd12060 
cpd00002 + cpd00023  -> cpd00008 + cpd02097 
cpd00002 + cpd00023 + cpd00084  -> cpd00067 + cpd00008 + cpd00009 + cpd00506 
cpd00067 + cpd00023  -> cpd00011 + cpd00281 
cpd00001 + cpd00053  -> cpd00023 + cpd00013 
cpd00001 + cpd00053 + cpd00103  -> cpd00012 + cpd00023 + cpd01982 
cpd00186  <=> cpd00023 
cpd00067 + cpd00005 + cpd00024 + cpd00053  -> cpd00006 + 2 cpd00023 
cpd00067 + cpd00015 + cpd00413  -> cpd00011 + cpd00650 + cpd00982 
cpd00067 + cpd00005 + cpd12227  -> cpd00006 + cpd02345 + cpd11912 
cpd00002 + cpd00023 + cpd11912  -> cpd00018 + cpd00012 + cpd12227 
cpd00002 + cpd00001 + cpd00023  -> cpd00067 + cpd00008 + cpd00009 + cpd00023 
cpd00023 + cpd00971  -> cpd00023 + cpd00971 
cpd00023  <=> cpd00023 
cpd00067 + 2 cpd00040  -> cpd00011 + cpd00145 
